"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 30 16:01:36 GMT 2022","Thu Jun 30 16:01:37 GMT 2022","664","","HomePageTest","","HomePageTest","loginFTest","isLoginFail",""
"passed","Thu Jun 30 16:01:43 GMT 2022","Thu Jun 30 16:01:43 GMT 2022","794","","HomePageTest","","HomePageTest","registrationTest","isRegistrationSuccess",""
"passed","Thu Jun 30 16:01:41 GMT 2022","Thu Jun 30 16:01:42 GMT 2022","1229","","HomePageTest","","HomePageTest","logoutTest","isLogoutSuccess",""
"passed","Thu Jun 30 16:01:30 GMT 2022","Thu Jun 30 16:01:31 GMT 2022","959","","PortfolioPageTest","","PortfolioPageTest","lastTest","isLastClickable",""
"passed","Thu Jun 30 16:01:29 GMT 2022","Thu Jun 30 16:01:30 GMT 2022","1498","","ProfilePageTest","","ProfilePageTest","profileChangeTest","profileChange",""
"passed","Thu Jun 30 16:01:31 GMT 2022","Thu Jun 30 16:01:32 GMT 2022","738","","PortfolioPageTest","","PortfolioPageTest","paginationAndCountTest","Pagination",""
"failed","Thu Jun 30 16:01:34 GMT 2022","Thu Jun 30 16:01:35 GMT 2022","778","","ContactPageTest","","ContactPageTest","sendOopsContactTest","sendOops",""
"passed","Thu Jun 30 16:01:23 GMT 2022","Thu Jun 30 16:01:24 GMT 2022","811","","BlogPageTest","","BlogPageTest","headingsToFileTest","getHeadingsToFile",""
"passed","Thu Jun 30 16:01:39 GMT 2022","Thu Jun 30 16:01:41 GMT 2022","2056","","HomePageTest","","HomePageTest","registerFromDataFileTest","repetedFromDataFile",""
"passed","Thu Jun 30 16:01:35 GMT 2022","Thu Jun 30 16:01:36 GMT 2022","965","","ContactPageTest","","ContactPageTest","sendContactTest","sendSuccess",""
"passed","Thu Jun 30 16:01:36 GMT 2022","Thu Jun 30 16:01:36 GMT 2022","528","","HomePageTest","","HomePageTest","xTermAndConditionTest","xCookies",""
"passed","Thu Jun 30 16:01:38 GMT 2022","Thu Jun 30 16:01:39 GMT 2022","529","","HomePageTest","","HomePageTest","acceptTermAndConditionTest","acceptCookies",""
"passed","Thu Jun 30 16:01:33 GMT 2022","Thu Jun 30 16:01:33 GMT 2022","682","","PortfolioPageTest","","PortfolioPageTest","nextTest","isNextClickable",""
"passed","Thu Jun 30 16:01:42 GMT 2022","Thu Jun 30 16:01:43 GMT 2022","487","","HomePageTest","","HomePageTest","isTermsAndConditionsTest","isTermsAndConditionsExists",""
"passed","Thu Jun 30 16:01:43 GMT 2022","Thu Jun 30 16:01:44 GMT 2022","467","","HomePageTest","","HomePageTest","navigationTest","isNavigationSuccess",""
"passed","Thu Jun 30 16:01:24 GMT 2022","Thu Jun 30 16:01:25 GMT 2022","878","","BlogPageTest","","BlogPageTest","headingTest","getHeading",""
"passed","Thu Jun 30 16:01:27 GMT 2022","Thu Jun 30 16:01:29 GMT 2022","1516","","ProfilePageTest","","ProfilePageTest","profileDeleteTest","profileDelete",""
"passed","Thu Jun 30 16:01:44 GMT 2022","Thu Jun 30 16:01:45 GMT 2022","1181","","HomePageTest","","HomePageTest","isLogoutTest","isLogoutExists",""
"passed","Thu Jun 30 16:01:32 GMT 2022","Thu Jun 30 16:01:33 GMT 2022","817","","PortfolioPageTest","","PortfolioPageTest","firstTest","isFirstClickable",""
"passed","Thu Jun 30 16:01:25 GMT 2022","Thu Jun 30 16:01:27 GMT 2022","1970","","ProfilePageTest","","ProfilePageTest","profileFillTest","profileFill",""
"passed","Thu Jun 30 16:01:22 GMT 2022","Thu Jun 30 16:01:23 GMT 2022","1699","","BlogPageTest","","BlogPageTest","headingsToFileWithPaginationTest","getHeadingsToFileWithPagination",""
"passed","Thu Jun 30 16:01:37 GMT 2022","Thu Jun 30 16:01:38 GMT 2022","1245","","HomePageTest","","HomePageTest","loginSTest","isLoginSuccess",""
"passed","Thu Jun 30 16:01:33 GMT 2022","Thu Jun 30 16:01:34 GMT 2022","800","","PortfolioPageTest","","PortfolioPageTest","backTest","isBackClickable",""
